STATION,Station_name,DATE,LATITUDE,LONGITUDE,ELEVATION,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,relative_humidity,temperature_original,sea_level_pressure_original,relative_humidity_original,is_anomaly,anomaly_type,anomaly_id,anomaly_params
INM00043057,BOMBAY / COLABA,2024-01-13 06:00:00,18.9,72.8167,11.0,31.0,21.2,,1015.1,55.0,31.0,1015.1,56.0,True,frozen,1,relative_humidity
INM00043057,BOMBAY / COLABA,2024-01-13 09:00:00,18.9,72.8167,11.0,30.2,24.2,,1012.7,70.0,30.2,1012.7,70.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-13 12:00:00,18.9,72.8167,11.0,29.0,22.5,,1012.5,68.0,29.0,1012.5,68.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-14 03:00:00,18.9,72.8167,11.0,24.6,20.0,,1015.6,76.0,24.6,1015.6,76.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-14 06:00:00,18.9,72.8167,11.0,32.0,15.2,,1015.5,36.0,32.0,1015.5,36.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-14 09:00:00,18.9,72.8167,11.0,32.0,17.3,,1012.6,41.0,32.0,1012.6,41.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-14 12:00:00,18.9,72.8167,11.0,29.6,17.7,,1012.5,49.0,29.6,1012.5,49.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-15 03:00:00,18.9,72.8167,11.0,23.2,10.6,,1015.4,45.0,23.2,1015.4,45.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-15 12:00:00,18.9,72.8167,11.0,27.0,15.2,,1012.4,48.0,27.0,1012.4,48.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-16 03:00:00,18.9,72.8167,11.0,20.4,12.6,,1013.8,61.0,20.4,1013.8,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-16 06:00:00,18.9,72.8167,11.0,27.5,14.5,,1013.7,45.0,27.5,1013.7,45.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-16 09:00:00,18.9,72.8167,11.0,28.0,16.8,,1010.6,51.0,28.0,1010.6,51.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-16 12:00:00,18.9,72.8167,11.0,26.7,15.3,,1010.3,50.0,26.7,1010.3,50.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-17 03:00:00,18.9,72.8167,11.0,21.8,18.0,,1012.3,79.0,21.8,1012.3,79.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-17 09:00:00,18.9,72.8167,11.0,28.4,15.0,,1010.0,44.0,28.4,1010.0,44.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-17 12:00:00,18.9,72.8167,11.0,26.0,19.7,,1010.0,68.0,26.0,1010.0,68.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-18 03:00:00,18.9,72.8167,11.0,22.5,18.6,,1014.5,79.0,22.5,1014.5,79.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-18 12:00:00,18.9,72.8167,11.0,26.6,15.1,,1011.3,49.0,26.6,1011.3,49.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-19 03:00:00,18.9,72.8167,11.0,20.4,16.4,,1014.1,78.0,20.4,1014.1,78.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-19 12:00:00,18.9,72.8167,11.0,26.5,20.0,,1011.0,68.0,26.5,1011.0,68.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-20 03:00:00,18.9,72.8167,11.0,21.4,19.2,,1015.2,87.0,21.4,1015.2,87.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-20 06:00:00,18.9,72.8167,11.0,26.0,19.5,,1015.9,67.0,26.0,1015.9,67.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-20 12:00:00,18.9,72.8167,11.0,26.2,18.0,,1012.6,61.0,26.2,1012.6,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-21 03:00:00,18.9,72.8167,11.0,21.0,13.7,,1014.9,63.0,21.0,1014.9,63.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-21 06:00:00,18.9,72.8167,11.0,26.6,17.7,,1014.9,58.0,26.6,1014.9,58.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-21 12:00:00,18.9,72.8167,11.0,26.7,19.7,,1011.1,66.0,26.7,1011.1,66.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-22 03:00:00,18.9,72.8167,11.0,22.2,19.4,,1014.7,84.0,22.2,1014.7,84.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-22 06:00:00,18.9,72.8167,11.0,28.2,14.7,,1015.3,44.0,28.2,1015.3,44.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-22 09:00:00,18.9,72.8167,11.0,29.4,17.1,,1013.0,48.0,29.4,1013.0,48.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-22 12:00:00,18.9,72.8167,11.0,27.5,18.3,,1013.1,57.0,27.5,1013.1,57.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-23 03:00:00,18.9,72.8167,11.0,20.8,4.4,,1015.8,34.0,20.8,1015.8,34.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-23 09:00:00,18.9,72.8167,11.0,28.0,11.3,,1012.6,35.0,28.0,1012.6,35.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-23 12:00:00,18.9,72.8167,11.0,26.0,13.9,,1012.1,47.0,26.0,1012.1,47.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-24 03:00:00,18.9,72.8167,11.0,20.4,8.6,,1015.4,47.0,20.4,1015.4,47.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-24 06:00:00,18.9,72.8167,11.0,25.5,11.3,,1015.6,41.0,25.5,1015.6,41.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-24 09:00:00,18.9,72.8167,11.0,28.4,10.9,,1012.6,34.0,28.4,1012.6,34.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-24 12:00:00,18.9,72.8167,11.0,26.2,15.0,,1011.6,50.0,26.2,1011.6,50.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-25 03:00:00,18.9,72.8167,11.0,22.0,14.2,,1016.2,61.0,22.0,1016.2,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-25 06:00:00,18.9,72.8167,11.0,27.5,11.8,,1017.0,38.0,27.5,1017.0,38.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-25 09:00:00,18.9,72.8167,11.0,29.0,14.1,,1013.7,40.0,29.0,1013.7,40.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-25 12:00:00,18.9,72.8167,11.0,26.7,18.3,,1013.5,60.0,26.7,1013.5,60.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-26 00:00:00,18.9,72.8167,11.0,21.0,17.4,,1014.2,80.0,21.0,1014.2,80.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-26 03:00:00,18.9,72.8167,11.0,22.0,18.2,,1017.1,79.0,22.0,1017.1,79.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-26 09:00:00,18.9,72.8167,11.0,31.0,18.7,,1014.7,48.0,31.0,1014.7,48.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-26 12:00:00,18.9,72.8167,11.0,27.6,19.6,,1014.6,62.0,27.6,1014.6,62.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-27 03:00:00,18.9,72.8167,11.0,23.0,18.9,,1016.8,78.0,23.0,1016.8,78.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-27 09:00:00,18.9,72.8167,11.0,30.2,18.1,,1014.6,48.0,30.2,1014.6,48.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-27 12:00:00,18.9,72.8167,11.0,28.5,22.5,,1013.8,70.0,28.5,1013.8,70.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-28 03:00:00,18.9,72.8167,11.0,22.8,18.4,,1016.3,76.0,22.8,1016.3,76.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-28 12:00:00,18.9,72.8167,11.0,28.5,20.2,,1013.8,61.0,28.5,1013.8,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-29 03:00:00,18.9,72.8167,11.0,23.2,17.4,,1016.6,70.0,23.2,1016.6,70.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-29 06:00:00,18.9,72.8167,11.0,28.5,15.8,,1017.4,46.0,28.5,1017.4,46.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-29 09:00:00,18.9,72.8167,11.0,29.0,18.8,,1014.1,54.0,29.0,1014.1,54.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-29 12:00:00,18.9,72.8167,11.0,27.5,20.4,,1013.5,65.0,27.5,1013.5,65.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-29 15:00:00,18.9,72.8167,11.0,26.0,17.8,,1015.3,61.0,26.0,1015.3,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-30 03:00:00,18.9,72.8167,11.0,21.8,16.6,,1015.6,72.0,21.8,1015.6,72.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-30 06:00:00,18.9,72.8167,11.0,29.0,18.8,,1015.8,54.0,29.0,1015.8,54.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-30 09:00:00,18.9,72.8167,11.0,28.6,20.8,,1013.3,63.0,28.6,1013.3,63.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-30 12:00:00,18.9,72.8167,11.0,26.7,20.4,,1012.5,68.0,26.7,1012.5,68.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-31 03:00:00,18.9,72.8167,11.0,23.4,19.0,,1015.8,76.0,23.4,1015.8,76.0,False,,,
